PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
224512723,20067561,6,2020-04-09T02:16:00,"2200 Block Osgood St Pittsburgh, PA 15214",N,Perry South,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2614,6,1,-80.0073267300462,40.4664439982503
224520299,20066720,99,2020-04-07T00:01:00,"5300 Block Kincaid St Pittsburgh, PA 15224",Y,Garfield,5,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,1017,,,0,0
224520916,20067594,99,2020-04-09T07:12:00,"100 Block 40th St Pittsburgh, PA 15201",N,Central Lawrenceville,2,MENTAL 201/302,9498 302 (Mental),901,7,2,-79.9650752637575,40.470779237703
224528544,20067671,99,2020-04-09T08:35:00,"5500 Block Bartlett St Pittsburgh, PA 15217",Y,Squirrel Hill South,4,FOUND PROPERTY,9489 Found Property,1413,5,3,-79.9303522984397,40.435209165161
223841027,20057582,14,2020-03-23T22:55:00,"200 Block 57th St Pittsburgh, PA 15201",N,Upper Lawrenceville,2,CRIM MISCHIEF,3304 Criminal Mischief.,1011,7,2,-79.9457765543833,40.4844365941583
223887830,20058060,99,2020-03-24T18:16:00,"Forbes Ave & Wood St Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-80.0008299342523,40.4400971296583
-3351001340,20058556,5,2020-03-25T09:30:00,"3100 Block Perrysville Ave Pittsburgh, PA 15214",N,Perry North,1,BURGLARY,3502 Burglary.,2607,1,1,-80.0119638025238,40.4775454957487
224030112,20059357,99,2020-03-26T17:40:00,"1000 Block N Negley Ave Pittsburgh, PA 15206",Y,Highland Park,5,AIDED CASE,9497 Aided Case,1102,7,2,-79.924731373482,40.4742835282836
-2848162000,20059408,5,2020-03-26T12:00:00,"1500 Block Alverado Ave Pittsburgh, PA 15216",N,Beechview,6,BURGLARY,3502 Burglary.,1916,,,0,0
224038892,20059446,99,2020-03-26T20:09:00,"2100 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,MENTAL 201/302,9498 302 (Mental),1306,9,2,-79.8740246842376,40.4529606359974
224040474,20059525,0,2020-03-26T20:38:00,"7200 Block Somerset St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): residence ownership dispute,1202,9,2,-79.8942110547556,40.4675638284895
223986536,20058997,0,2020-03-26T07:00:00,"Montour Way & 7th Ave Pittsburgh, PA 15219",Y,Central Business District,2,99,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours / 2709(b) Stalking,201,6,6,-79.9963303297922,40.4426566681394
223988957,20059053,18,2020-03-26T07:00:00,"7th Ave & Montour Way Pittsburgh, PA 15219",Y,Central Business District,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 5123 Contraband.,201,6,6,-79.9963303297922,40.4426566681394
224009313,20059155,14,2020-03-24T07:00:00,"7100 Block Wiltsie St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,CRIM MISCHIEF,3304 Criminal Mischief.,1201,9,2,-79.8960992126209,40.4715620242903
224020529,20059251,10,2020-03-26T14:30:00,"1500 Block Summerdale St Pittsburgh, PA 15204",N,Windgap,6,HARRASSMENT,2709(a) Harassment.,2807,2,5,-80.073102301233,40.4563910209791
224024431,20059269,27,2020-03-26T15:21:00,"Minton St & Glen Mawr St Pittsburgh, PA 15204",N,Sheraden,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2018,2,5,-80.0527008030001,40.4566998583259
224026699,20059305,10,2020-03-26T16:00:00,"6300 Block Douglas St Pittsburgh, PA 15217",N,Squirrel Hill South,4,HARRASSMENT,2709(a) Harassment.,1408,5,3,-79.9185112745671,40.4335284567254
224030788,20059356,6,2020-03-26T16:40:00,"2200 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1609,3,3,-79.9745994066805,40.4272550585301
224032041,20059383,14,2020-03-26T07:00:00,"Forbes Ave & Moultrie St Pittsburgh, PA 15219",N,Bluff,2,CRIM MISCHIEF,3304 Criminal Mischief.,103,6,3,-79.9744933841908,40.4372049738672
224041771,20059361,10,2020-03-26T16:30:00,"10 Block E North Ave Pittsburgh, PA 15212",N,Allegheny Center,1,SIMPLE ASSAULT,2701 Simple Assault.,2204,1,1,-80.0061461533418,40.4558516535202
224051206,20059762,27,2020-03-27T07:05:00,"N Craig St & Baum Blvd Pittsburgh, PA 15213",N,North Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,507,6,3,-79.9533372673389,40.4540016585049
224055695,20059788,27,2020-03-27T07:00:00,"Forbes Ave & S Bellefield Ave Pittsburgh, PA 15213",N,North Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,404,8,3,-79.9507427356561,40.4439161714736
224061290,20059817,11,2020-03-24T15:00:00,"7200 Block Bennett St Pittsburgh, PA 15208",Y,Homewood South,5,IDENTITY THEFT,4120 Identity Theft,1303,9,2,-79.8966319961519,40.4564560852674
224063947,20059841,6,2020-03-27T10:53:00,"3300 Block Portola Ave Pittsburgh, PA 15214",N,Perry North,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2607,1,1,-80.011138427246,40.480710532006
224003984,20059162,10,2020-03-25T13:00:00,"2100 Block Rhine St Pittsburgh, PA 15212",Y,Spring Hill-City View,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2620,1,1,-79.9936801964597,40.4666247323612
224010231,20059192,11,2020-03-25T01:49:00,"700 Block Junilla St Pittsburgh, PA 15219",N,Bedford Dwellings,2,CREDIT CARDS,4106 Access Device Fraud,509,6,3,-79.9725300492789,40.4496558836076
224013348,20059231,6,2020-03-25T10:00:00,"3900 Block Penn Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,603,7,2,-79.9598859587793,40.464755622437
224033205,20059438,10,2020-03-26T18:15:00,"2000 Block Reed St Pittsburgh, PA 15219",Y,Upper Hill,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",506,,,0,0
224039790,20059513,5,2020-03-26T20:20:00,"100 Block Kirkpatrick St Pittsburgh, PA 15219",N,West Oakland,4,BURGLARY,3502 Burglary. / 2701 Simple Assault.,402,6,3,-79.972823189904,40.4377892107852
224042198,20059582,0,2020-03-26T21:10:00,"200 Block 44th St Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9998 Overdose Other,902,7,2,-79.9597784034087,40.4714445887602
223350606,20052324,27,2020-03-15T11:09:00,"200 Block Federal St Pittsburgh, PA 15212",N,North Shore,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2205,1,6,-80.0039635417819,40.4484213102204
223355176,20052282,27,2020-03-15T02:40:00,"Kearsarge St & Grace St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1914,2,5,-80.0107202146751,40.4309023210943
223359377,20052411,0,2020-03-15T14:30:00,"Entrance Ave & Shreve St Pittsburgh, PA 15212",Y,Spring Hill-City View,1,99,9999 9999 - (Misc. Incident): ,2620,1,1,-79.9989635518196,40.470407482376
224535002,20067706,18,2020-04-09T12:00:00,"5400 Block Halchess St Pittsburgh, PA 15207",N,Lincoln Place,4,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance,3102,5,3,-79.9094930346902,40.3687700379145
224539055,20067182,14,2020-04-08T15:25:00,"400 Block Walde St Pittsburgh, PA 15210",Y,Mount Oliver,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1607,3,3,-79.9815374798839,40.4104760659298
224540525,20067826,27,2020-04-09T15:19:00,"S Braddock Ave & Penn Ave Pittsburgh, PA 15221",N,Point Breeze,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1406,9,3,-79.8951649869709,40.4471406664877
224541877,20067850,27,2020-04-09T13:00:00,"5100 Block Natrona Way Pittsburgh, PA 15201",N,Upper Lawrenceville,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1011,,,0,0
224542867,20067882,6,2020-04-09T17:00:00,"300 Block S Graham St Pittsburgh, PA 15232",N,Friendship,5,THEFT FROM AUTO,3934 Theft from Vehicle,807,9,2,-79.9337854224608,40.4668902555557
-3408000134,20067879,1,2020-04-09T17:55:00,"2600 Block Stayton St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,CRIMINAL HOMICIDE,2501 Criminal Homicide.,2704,1,1,-80.0266255142745,40.4678014204878
224546127,20057954,11,2020-04-09T13:00:00,"60 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,CREDIT CARDS,4106 Access Device Fraud,1702,,,-79.9030406620446,40.4078392476671
224550329,20067948,6,2020-04-09T18:00:00,"Riverview Dr & Woods Run Rd Pittsburgh, PA 15214",N,Perry North,1,THEFT FROM AUTO,3934 Theft from Vehicle / 3922 Theft by Deception. / 3304 Criminal Mischief.,2602,1,1,-80.0242367941427,40.4835423021969
224130404,20061219,27,2020-03-29T15:45:00,"6700 Block Atwell St Pittsburgh, PA 15206",N,Homewood West,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1207,9,2,-79.9044880121583,40.4631617016069
224121138,20061043,99,2020-03-28T15:30:00,"Pioneer Ave & Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,LOST PROPERTY,9504 Lost Property,1918,4,5,-80.0236649637785,40.3962378283988
224126937,20061148,0,2020-03-29T14:30:00,"300 Block Camfield St Pittsburgh, PA 15210",N,Bon Air,3,99,9999 9999 - (Misc. Incident): Custody Dispute - CIVIL MATTER,1806,4,5,-79.9982589776839,40.4077702634015
224128321,20061215,6,2020-03-29T15:45:00,"60 Block Auburn St Pittsburgh, PA 15206",N,Larimer,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1208,9,2,-79.9177239742447,40.4647621988949
224128791,20061214,6,2020-03-29T13:00:00,"200 Block Alice St Pittsburgh, PA 15210",N,Knoxville,3,THEFT FROM AUTO,3934 Theft from Vehicle,3001,,,0,0
224131149,20061188,10,2020-03-29T15:00:00,"1000 Block Sheffield St Pittsburgh, PA 15233",N,Manchester,1,HARRASSMENT,2709(a) Harassment.,2107,,,0,0
224131387,20060800,99,2020-03-28T22:33:00,"900 Block Haslage Ave Pittsburgh, PA 15212",N,Spring Hill-City View,1,AIDED CASE,9497 Aided Case / 9498 302 (Mental),2620,1,1,-79.9966855726955,40.4603054184719
224132408,20061307,99,2020-03-29T17:59:00,"2900 Block Mullins St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,AIDED CASE,9498 302 (Mental) / 9497 Aided Case,2715,1,1,-80.0319630518536,40.4704113247902
224068583,20059902,26,2020-03-27T12:48:00,"5800 Block Alderson St Pittsburgh, PA 15217",N,Squirrel Hill South,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,1414,,,0,0
-3414001343,20059994,27,2020-03-18T21:00:00,"8600 Block Bricelyn St Pittsburgh, PA 15221",N,East Hills,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1306,9,2,-79.8743592274177,40.4578647734886
224084572,20060035,99,2020-03-27T17:07:00,"400 Block E Warrington Ave Pittsburgh, PA 15210",N,Beltzhoover,3,FOUND PROPERTY,9489 Found Property,1809,3,5,-80.0000780646194,40.4207390896467
224086169,20060126,0,2020-03-27T19:05:00,"7000 Block Lemington Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): ,1203,9,2,-79.8981879623688,40.4713865299518
224088133,20060201,99,2020-03-27T21:46:00,"100 Block Fort Duquesne Brg Pittsburgh, PA 15212",N,North Oakland,1,MENTAL 201/302,9498 302 (Mental),403,6,6,-79.9952482142447,40.4455188609599
-3376002235,20060585,0,2020-03-28T15:57:00,"2000 Block Norte Way Pittsburgh, PA 15210",N,Arlington,3,99,9999 9999 - (Misc. Incident): ,1603,3,3,-79.9779857148289,40.4174594836016
224107008,20060840,99,2020-03-29T00:21:00,"4000 Block Vinceton St Pittsburgh, PA 15214",N,Perry North,1,AIDED CASE,9497 Aided Case,2602,1,1,-80.0227333044512,40.4904834556779
224110563,20060897,4,2020-03-29T02:44:00,"100 Block Kirkpatrick St Pittsburgh, PA 15219",Y,West Oakland,4,AGG-ASSAULT,"2702 Aggravated Assault. / 3502 Burglary. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats. / 907 Possessing Instruments of Crime.",402,6,3,-79.972823189904,40.4377892107852
224131854,20061300,14,2020-03-29T17:50:00,"North Shore Dr & Art Rooney Ave Pittsburgh, PA 15212",N,North Shore,1,CRIM MISCHIEF,3304 Criminal Mischief. / 9130 Graffiti Investigation,2205,1,6,-80.0135580358932,40.4453073540077
224107788,20060868,99,2020-03-29T01:17:00,"4000 Block Brandon Rd Pittsburgh, PA 15212",Y,Brighton Heights,1,AIDED CASE,9497 Aided Case,2708,1,1,-80.0405042752391,40.4883730758283
224121045,20061004,8,2020-03-29T09:47:00,"3000 Block Josephine St Pittsburgh, PA 15203",Y,South Side Slopes,3,DANGEROUS BURNING,3301(d.1) Dangerous Burning,1608,3,3,-79.965922153019,40.4224224308139
224126525,20061106,5,2020-03-29T12:30:00,"4500 Block Friendship Ave Pittsburgh, PA 15224",N,Bloomfield,5,BURGLARY,3502 Burglary.,903,7,2,-79.9521339707306,40.4658033300561
-3413033277,20062195,10,2020-03-31T09:07:00,"700 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,HARRASSMENT,2709(a) Harassment. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1803,3,5,-79.9954887053187,40.4215189803883
224220460,20062615,11,2020-03-31T19:03:00,"1800 Block Belleau St Pittsburgh, PA 15214",N,Fineview,1,CREDIT CARDS,4106 Access Device Fraud,2509,6,1,-80.0068084681952,40.4619049318352
-3375021545,20062663,10,2020-04-01T01:15:00,"1200 Block Chartiers Ave Pittsburgh, PA 15220",Y,Crafton Heights,6,HARRASSMENT,2709(a) Harassment.,2814,2,5,-80.0434680746212,40.4457631281446
223360883,20052433,11,2020-03-15T15:32:00,"1900 Block Waite St Pittsburgh, PA 15210",N,Arlington,3,CREDIT CARDS,4106 Access Device Fraud,1603,4,5,-80.0058902132357,40.393220357552
223361998,20052480,26,2020-03-15T17:00:00,"100 Block Chesterfield Rd Pittsburgh, PA 15213",Y,West Oakland,4,CRIMINAL TRESPASS,2709(a)(4) Harassment Communicates Prohibited Acts / 3503 Criminal Trespass,402,8,3,-79.9617903080817,40.4393879160793
223364191,20052532,99,2020-03-15T19:00:00,"S 21st St & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1609,3,3,-79.9762684360746,40.4285137491727
-3004003076,20052153,3,2020-03-15T02:03:00,"2300 Block East Hills Dr Pittsburgh, PA 15221",Y,East Hills,5,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3503 Criminal Trespass / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1306,9,2,-79.871328586779,40.4566162367709
223381030,20052778,29,2020-03-16T06:42:00,"1600 Block Colwell St Pittsburgh, PA 15219",Y,Crawford-Roberts,2,RUNAWAYS - JUVENILE,029 Missing Juvenile,305,6,3,-79.9837553408815,40.4390180249239
-3254002407,20052897,5,2020-03-16T09:00:00,"5200 Block Dresden Way Pittsburgh, PA 15201",N,Upper Lawrenceville,2,BURGLARY,3502 Burglary.,1011,7,2,-79.9540136073542,40.4801469015144
223420223,20053010,11,2020-03-16T15:15:00,"4400 Block Cherryland St Pittsburgh, PA 15214",N,Summer Hill,1,CREDIT CARDS,4106 Access Device Fraud / 4912 Impersonating a Public Servant.,2612,,,0,0
223422415,20053036,99,2020-03-16T16:45:00,"6100 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,FOUND DRUGS,9017 Found Drugs,1115,9,2,-79.9237840732301,40.4607147673457
223430124,20053170,10,2020-03-16T11:21:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,TERRORISTIC THREATS,2706 Terroristic Threats.,1106,9,2,-79.9086166765251,40.4703056329977
224551810,20068073,27,2020-04-09T22:10:00,"Marshall Ave & Ohio River Blvd Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2704,,,0,0
224552629,20068048,6,2020-04-09T18:00:00,"Bayard Rd Pittsburgh, PA 15213",N,Shadyside,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,709,8,2,-79.9441064901533,40.4516616081862
-3213014071,20068124,0,2020-04-10T01:31:00,"3100 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,99,8106 Shots Fired,2022,2,5,-80.0611043000205,40.4538722967083
224558174,20068234,6,2020-04-08T19:00:00,"1700 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",1413,5,3,-79.9231547045145,40.4379249093786
224559626,20059216,99,2020-03-26T13:15:00,"7100 Block Race St Pittsburgh, PA 15208",N,Homewood North,5,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1302,9,2,-79.8979386679952,40.4593342175381
224562204,20068294,6,2020-04-09T19:00:00,"3200 Block Faronia St Pittsburgh, PA 15204",N,Sheraden,6,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2022,2,5,-80.0663606774522,40.451609860466
224562234,20068301,0,2020-04-10T10:30:00,"100 Block Hazlett St Pittsburgh, PA 15214",N,Northview Heights,1,99,9999 9999 - (Misc. Incident): ,2609,1,1,-80.0016475315907,40.4771220938326
224565198,20068322,5,2020-04-09T10:00:00,"300 Block 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,BURGLARY,3502 Burglary.,201,6,6,-80.0016135598372,40.4388661313797
224566530,20068345,3,2020-04-09T01:10:00,"300 Block Blk. Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY,"3701 Robbery. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",201,6,6,-80.0062421927883,40.4409867367814
224568665,20068392,99,2020-04-10T08:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,PROSTITUTION INVESTIGATION,9126 Prostitution Investigation,2108,6,1,-80.0219684615574,40.4512177173984
224134681,20061400,5,2020-03-29T21:18:00,"900 Block Liberty Ave Pittsburgh, PA 15222",N,Central Business District,2,BURGLARY,3502 Burglary.,201,6,6,-79.9979394801918,40.4429453058994
224134921,20061402,0,2020-03-29T20:30:00,"10 Block Elmont St Pittsburgh, PA 15205",N,Crafton Heights,6,99,9999 9999 - (Misc. Incident): ,2815,2,5,-80.0560617827831,40.4389911702592
224139984,20061496,0,2020-03-30T00:27:00,"7000 Block Monticello St Pittsburgh, PA 15208",N,Homewood South,5,99,8106 Shots Fired,1303,9,2,-79.9003613079182,40.4603449106517
224140006,20061518,0,2020-03-30T01:21:00,"7000 Block Fletcher Way Pittsburgh, PA 15208",N,Homewood North,5,99,8106 Shots Fired,1301,,,0,0
224145585,20061659,0,2020-03-30T09:49:00,"700 Block Cherokee St Pittsburgh, PA 15219",N,Upper Hill,2,99,9999 9999 - (Misc. Incident): ,506,6,3,-79.9631782636014,40.4519334169303
224148591,20061689,0,2020-03-30T10:48:00,"2500 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9090 Recovered Firearm,509,6,3,-79.9738397090324,40.4509833047534
224151713,20060702,0,2020-03-30T13:00:00,"2700 Block Glen Mawr St Pittsburgh, PA 15204",N,Sheraden,6,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Welfare Check,2018,2,5,-80.0492559577887,40.4532999321777
-3314015396,20061789,5,2020-03-30T14:20:00,"700 Block Arlington Ave Pittsburgh, PA 15203",N,South Side Slopes,3,BURGLARY,3502 Burglary.,1706,3,5,-79.9920443722527,40.4262625121866
224154866,20061773,10,2020-03-29T13:39:00,"300 Block N Braddock Ave Pittsburgh, PA 15208",N,Point Breeze North,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1405,9,2,-79.8928013971768,40.4496546331193
224156731,20061725,14,2020-03-30T08:00:00,"Wilkins Ave & Worth St Pittsburgh, PA 15217",N,Squirrel Hill North,4,CRIM MISCHIEF,3304 Criminal Mischief.,1403,8,3,-79.9127118905751,40.446678405886
224158866,20061720,99,2020-03-30T11:49:00,"40 Block Biddle Ave Pittsburgh, PA 15221",N,Regent Square,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1410,,,-79.8919018339239,40.4378061432759
224159494,20061796,99,2020-03-27T00:01:00,"1400 Block Leaside Dr Pittsburgh, PA 15207",N,Lincoln Place,4,LOST PROPERTY,9504 Lost Property,3102,5,3,-79.9105288283172,40.3704273217965
224164143,20061908,6,2020-03-30T16:30:00,"3300 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,506,6,3,-79.9645154008401,40.4528424936221
224133825,20061322,0,2020-03-29T18:25:00,"900 Block Tyndall St Pittsburgh, PA 15204",N,Sheraden,6,99,"8106 Shots Fired / 607.03 Discharging Firearm or Airgun / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",2022,2,5,-80.0574409747786,40.4535955441231
224151206,20061738,6,2020-03-30T08:00:00,"800 Block N Euclid Ave Pittsburgh, PA 15206",Y,Highland Park,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1102,,,0,0
224166216,20061909,99,2020-03-30T11:00:00,"4200 Block Haldane St Pittsburgh, PA 15207",N,Greenfield,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1516,5,3,-79.9430052091778,40.4232529057345
224175877,20062065,0,2020-03-31T01:18:00,"200 Block N Dithridge St Pittsburgh, PA 15213",N,North Oakland,4,99,9999 9999 - (Misc. Incident): Domestic,507,8,3,-79.9516953898806,40.4493192927662
224184648,20062181,0,2020-03-31T09:00:00,"5900 Block Alder St Pittsburgh, PA 15232",N,Shadyside,4,99,9998 Overdose Other,705,8,2,-79.928788317662,40.4563562891472
224201246,20062279,23,2020-03-31T13:00:00,"400 Block Chandler Pl Pittsburgh, PA 15212",Y,Brighton Heights,1,PUBLIC DRUNKENESS,5505 Public Drunkenness,2708,,,0,0
224233871,20062795,0,2020-04-01T09:18:00,"6800 Block Mc Pherson Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,99,9999 9999 - (Misc. Incident): ,1405,9,2,-79.9083351385371,40.4546578651435
224246830,20062923,0,2020-04-01T12:45:00,"900 Block Bay Ridge Ave Pittsburgh, PA 15226",N,Brookline,6,99,9992 Governor's Order Violation,1918,4,5,-80.0214646432691,40.3910353063456
224267351,20062975,27,2020-04-01T14:30:00,"Stratmore St & Clairhaven St Pittsburgh, PA 15205",N,Crafton Heights,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2815,2,5,-80.0559574475264,40.4383731269129
224277868,20063128,29,2020-04-01T19:14:00,"2400 Block Toner St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2704,1,1,-80.0319593036384,40.4659652159636
224284756,20063340,14,2020-04-02T05:03:00,"200 Block North Shore Dr Pittsburgh, PA 15212",Y,North Shore,1,CRIM MISCHIEF,3304 Criminal Mischief.,2205,1,1,-80.0088814628293,40.4552322813828
224285530,20061097,0,2020-03-29T12:50:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,3714 Careless Driving,1203,9,2,-79.9086166765251,40.4703056329977
224286401,20061362,6,2020-03-29T19:15:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115,,,0,0
223475030,20053464,10,2020-03-17T11:00:00,"500 Block Wyncotte St Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2018,2,5,-80.0548384895162,40.4589578766986
223499608,20053575,11,2020-03-17T00:01:00,"4300 Block Gladstone St Pittsburgh, PA 15207",N,Hazelwood,4,IDENTITY THEFT,4120 Identity Theft,1501,5,3,-79.9448372178778,40.4211872826348
223503779,20053576,0,2020-03-17T00:01:00,"6000 Block Bunkerhill St Pittsburgh, PA 15206",N,Highland Park,5,99,9999 9999 - (Misc. Incident): ,1106,7,2,-79.9159381771399,40.478194415859
223505638,20053606,0,2020-03-17T14:00:00,"200 Block Elysian St Pittsburgh, PA 15206",N,Point Breeze,4,99,9999 9999 - (Misc. Incident): ,1404,8,3,-79.9142605926347,40.4527724471472
223514858,20053696,14,2020-03-17T17:00:00,"1900 Block Wharton Rd Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1702,,,0,0
223518944,20053697,10,2020-03-17T17:15:00,"600 Block Pressley St Pittsburgh, PA 15212",N,East Allegheny,1,HARRASSMENT,2709 Harassment (Non-Specific),2304,1,1,-79.9986796721415,40.4522188227154
223565356,20054124,99,2020-03-18T11:40:00,"S 21st St & Mary St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1609,3,3,-79.9765424247875,40.4258188796607
224575122,20068411,6,2020-04-10T14:50:00,"100 Block Rhine Pl Pittsburgh, PA 15212",N,Spring Hill-City View,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2620,1,1,-79.992041845149,40.4653596489546
224576652,20068431,4,2020-04-09T16:00:00,"600 Block Eureka St Pittsburgh, PA 15210",N,Allentown,3,SIMPLE ASSAULT,2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief.,1803,3,5,-79.9974497318389,40.4237168554772
224576951,20068454,0,2020-04-10T14:00:00,"300 Block Ashton Ave Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1515,,,0,0
224577584,20068511,27,2020-04-10T16:00:00,"1900 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1408,5,3,-79.9230679471987,40.4358796223012
224578232,20068532,14,2020-04-10T18:00:00,"4000 Block Brighton Rd Pittsburgh, PA 15212",N,Brighton Heights,1,CRIM MISCHIEF,3304 Criminal Mischief.,2708,1,1,-80.0408518162042,40.4879166752773
224578244,20068488,99,2020-04-10T17:28:00,"1200 Block Morningside Ave Pittsburgh, PA 15206",N,Morningside,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1014,7,2,-79.9307051238368,40.4795684901105
